Rank,Word_with_Article,IPA,Eng_Approx,Meaning,Verb_Tense,Verb_Mood,Sentence,Sentence_IPA,Sentence_Eng_Approx,Sentence_Translation,Elision_Note,Sentence_Breakdown
91,besoin,/bə.zwɛ̃/,buh-zwehn,need (noun),,,J'ai besoin d'un peu d'aide s'il te plaît.,/ʒe bə.zwɛ̃ dœ̃ pø d‿ɛd sil tə plɛ/,zhay buh-ZWEHN d(y)uhn puh d’ed seel tuh pleh,I need a little help please.,de + un -> d'un,J'|I|Pron|/ʒ/|zh;ai|have|Verb|/e/|ay;besoin(le)|need|Noun|/bə.zwɛ̃/|buh-zwehn;d'|of|Prep|/d/|d;un(Art)|a|Art|/œ̃/|uh;peu|little|Adv|/pø/|puh;d'|of|Prep|/d/|d;aide(la)|help|Noun|/ɛd/|ed;s'il te plaît|please|Expr|/sil tə plɛ/|seel-tuh-pleh
92,moment,/mɔ.mɑ̃/,mo-mahn,moment,,,"Attends un petit moment, j'arrive tout de suite.",/a.tɑ̃ z‿œ̃ pə.ti mɔ.mɑ̃ ʒa.ʁiv tu də sɥit/,ah-TAHN z(y)uhn puh-TEE mo-MAHN,"zhar-REEV toot suh sweet,Wait a small moment, I am coming right away.",,Attends|Wait|Verb|/a.tɑ̃/|ah-tahn;un(Art)|a|Art|/œ̃/|uh;petit|small|Adj|/pə.ti/|puh-tee;moment(le)|moment|Noun|/mɔ.mɑ̃/|mo-mahn;j'|I|Pron|/ʒ/|zh;arrive|arrive|Verb|/a.ʁiv/|ah-reev;tout de suite|immediately|Adv|/tud sɥit/|tood sweet
93,seul / seule,/sœl/,suhl,alone / only,,,Je ne veux pas rester seule ce soir.,/ʒə nə vø pa ʁɛs.te sœl sə swaʁ/,zhuh nuh vuh pah res-TAY suhl suh swar,I do not want to stay alone tonight.,,Je(Pron)|I|Pron|/ʒə/|zhuh;ne|not|Adv|/nə/|nuh;veux|want|Verb|/vø/|vuh;pas|not|Adv|/pa/|pah;rester|to stay|Verb|/ʁɛs.te/|res-tay;seule|alone|Adj|/sœl/|suhl;ce(Det)|this|Det|/sə/|suh;soir(le)|evening|Noun|/swaʁ/|swar
94,sembler,/sɑ̃.ble/,sahm-blay,to seem,Infinitive,Infinitive,Il semble être très fatigué après le travail.,/il sɑ̃bl ɛtʁ tʁɛ fa.ti.ɡe a.pʁɛ lə tʁa.vaj/,eel sahmbl eh-truh treh fah-tee-GAY ah-PREH luh trah-VYE,He seems to be very tired after work.,,Il(Pron)|He|Pron|/il/|eel;semble|seems|Verb|/sɑ̃bl/|sahm-bl;être|to be|Verb|/ɛtʁ/|eh-truh;très|very|Adv|/tʁɛ/|treh;fatigué|tired|Adj|/fa.ti.ɡe/|fah-tee-gay;après|after|Prep|/a.pʁɛ/|ah-preh;le(Art)|the|Art|/lə/|luh;travail(le)|work|Noun|/tʁa.vaj/|trah-vye
95,année,/a.ne/,ah-nay,year,,,C'est la meilleure année de ma vie.,/s‿ɛ la mɛ.jœʁ a.ne də ma vi/,seh lah meh-YUR ah-NAY duh mah vee,It is the best year of my life.,,C'|It|Pron|/s/|s;est|is|Verb|/ɛ/|eh;la(Art)|the|Art|/la/|lah;meilleure|best|Adj|/mɛ.jœʁ/|meh-yur;année(la)|year|Noun|/a.ne/|ah-nay;de|of|Prep|/də/|duh;ma(Det)|my|Det|/ma/|mah;vie(la)|life|Noun|/vi/|vee
96,monde,/mɔ̃d/,mohnd,world / people,,,Tout le monde aime le chocolat ici.,/tu lə mɔ̃d ɛm lə ʃɔ.kɔ.la i.si/,too luh mohnd em luh sho-ko-LAH ee-SEE,Everyone likes chocolate here.,,Tout|All|Adj|/tu/|too;le(Art)|the|Art|/lə/|luh;monde(le)|world|Noun|/mɔ̃d/|mohnd;aime|likes|Verb|/ɛm/|em;le(Art)|the|Art|/lə/|luh;chocolat(le)|chocolate|Noun|/ʃɔ.kɔ.la/|sho-ko-lah;ici|here|Adv|/i.si/|ee-see
97,monsieur,/mə.sjø/,muh-syuh,sir / mister,,,"Bonjour Monsieur, comment allez-vous aujourd'hui ?",/bɔ̃.ʒuʁ mə.sjø kɔ.mɑ̃ ta.le vu o.ʒuʁ.dɥi/,bohn-ZHOOR muh-SYUH,"koh-mahn tah-LAY voo oh-zhoor-DWEE,Hello Sir, how are you today?",,Bonjour|Hello|Int|/bɔ̃.ʒuʁ/|bohn-zhoor;Monsieur(le)|Sir|Noun|/mə.sjø/|muh-syuh;comment|how|Adv|/kɔ.mɑ̃/|ko-mahn;allez-vous|go you|Verb|/a.le vu/|ah-lay voo;aujourd'hui|today|Adv|/o.ʒuʁ.dɥi/|oh-zhoor-dwee
98,fille,/fij/,fee-yuh,girl / daughter,,,Ma fille va à l'école le matin.,/ma fij va a le.kɔl lə ma.tɛ̃/,mah fee-yuh vah ah lay-KOL luh mah-TEHN,My daughter goes to school in the morning.,,Ma(Det)|My|Det|/ma/|mah;fille(la)|daughter|Noun|/fij/|fee-yuh;va|goes|Verb|/va/|vah;à|to|Prep|/a/|ah;l'|the|Art|/l/|l;école(l')|school|Noun|/e.kɔl/|ay-kol;le(Art)|the|Art|/lə/|luh;matin(le)|morning|Noun|/ma.tɛ̃/|mah-tehn
99,eau,/o/,oh,water,,,Je voudrais un grand verre d'eau.,/ʒə vu.dʁɛ œ̃ ɡʁɑ̃ vɛʁ d‿o/,zhuh voo-DREH uhn grahn vair doh,I would like a big glass of water.,,Je(Pron)|I|Pron|/ʒə/|zhuh;voudrais|would like|Verb|/vu.dʁɛ/|voo-dreh;un(Art)|a|Art|/œ̃/|uh;grand|big|Adj|/ɡʁɑ̃/|grahn;verre(le)|glass|Noun|/vɛʁ/|vair;d'|of|Prep|/d/|d;eau(l')|water|Noun|/o/|oh
100,appeler,/a.pə.le/,ah-puh-lay,to call,Infinitive,Infinitive,Je vais appeler ma mère ce soir.,/ʒə vɛ za.pə.le ma mɛʁ sə swaʁ/,zhuh veh zah-puh-LAY mah mair suh swar,I am going to call my mother tonight.,,Je(Pron)|I|Pron|/ʒə/|zhuh;vais|go|Verb|/vɛ/|veh;appeler|to call|Verb|/a.pə.le/|ah-puh-lay;ma(Det)|my|Det|/ma/|mah;mère(la)|mother|Noun|/mɛʁ/|mair;ce(Det)|this|Det|/sə/|suh;soir(le)|evening|Noun|/swaʁ/|swar
101,arrêter,/a.ʁɛ.te/,ah-reh-tay,to stop,Infinitive,Infinitive,Il faut arrêter de fumer pour ta santé.,/il fo a.ʁɛ.te də fy.me puʁ ta sɑ̃.te/,eel foe ah-reh-TAY duh fyu-MAY poor tah sahn-TAY,You must stop smoking for your health.,,Il faut|It is necessary|Verb|/il fo/|eel foe;arrêter|to stop|Verb|/a.ʁɛ.te/|ah-reh-tay;de|of/to|Prep|/də/|duh;fumer|to smoke|Verb|/fy.me/|few-may;pour|for|Prep|/puʁ/|poor;ta(Det)|your|Det|/ta/|tah;santé(la)|health|Noun|/sɑ̃.te/|sahn-tay
102,nuit,/nɥi/,nwee,night,,,Je dors bien toute la nuit.,/ʒə dɔʁ bjɛ̃ tut la nɥi/,zhuh dor byehn toot lah nwee,I sleep well all night.,,Je(Pron)|I|Pron|/ʒə/|zhuh;dors|sleep|Verb|/dɔʁ/|dor;bien|well|Adv|/bjɛ̃/|byehn;toute|all|Adj|/tut/|toot;la(Art)|the|Art|/la/|lah;nuit(la)|night|Noun|/nɥi/|nwee
103,chambre,/ʃɑ̃bʁ/,shahn-bruh,bedroom,,,Les enfants rangent leur chambre le samedi.,/le z‿ɑ̃.fɑ̃ ʁɑ̃ʒ lœʁ ʃɑ̃bʁ lə sam.di/,lay zahn-FAHN rahnzh lur shahn-bruh luh sam-DEE,The children clean their room on Saturdays.,,Les(Art)|The|Art|/le/|lay;enfants(les)|children|Noun|/ɑ̃.fɑ̃/|ahn-fahn;rangent|clean/tidy|Verb|/ʁɑ̃ʒ/|rahnzh;leur(Det)|their|Det|/lœʁ/|lur;chambre(la)|room|Noun|/ʃɑ̃bʁ/|shahn-bruh;le(Art)|the|Art|/lə/|luh;samedi(le)|Saturday|Noun|/sam.di/|sam-dee
104,voiture,/vwa.tyʁ/,vwah-tewr,car,,,Ma voiture est garée devant la maison.,/ma vwa.tyʁ ɛ ɡa.ʁe də.vɑ̃ la mɛ.zɔ̃/,mah vwah-TEWR eh gah-RAY duh-VAHN lah meh-ZOHN,My car is parked in front of the house.,,Ma(Det)|My|Det|/ma/|mah;voiture(la)|car|Noun|/vwa.tyʁ/|vwah-tewr;est|is|Verb|/ɛ/|eh;garée|parked|Adj|/ɡa.ʁe/|gah-ray;devant|in front of|Prep|/də.vɑ̃/|duh-vahn;la(Art)|the|Art|/la/|lah;maison(la)|house|Noun|/mɛ.zɔ̃/|meh-zohn
105,nom,/nɔ̃/,nohn,name,,,Quel est le nom de ton chien ?,/kɛ l‿ɛ lə nɔ̃ də tɔ̃ ʃjɛ̃/,kel eh luh nohn duh tohn shyehn,What is the name of your dog?,,Quel|What|Det|/kɛl/|kel;est|is|Verb|/ɛ/|eh;le(Art)|the|Art|/lə/|luh;nom(le)|name|Noun|/nɔ̃/|nohn;de|of|Prep|/də/|duh;ton(Det)|your|Det|/tɔ̃/|tohn;chien(le)|dog|Noun|/ʃjɛ̃/|shyeh
106,travail,/tʁa.vaj/,trah-vye,work (noun),,,Il a beaucoup de travail cette semaine.,/il a bo.ku də tʁa.vaj sɛt sə.mɛn/,eel ah boh-KOO duh trah-VYE set suh-MEN,He has a lot of work this week.,,Il(Pron)|He|Pron|/il/|eel;a|has|Verb|/a/|ah;beaucoup|a lot|Adv|/bo.ku/|bo-koo;de|of|Prep|/də/|duh;travail(le)|work|Noun|/tʁa.vaj/|trah-vye;cette(Det)|this|Det|/sɛt/|set;semaine(la)|week|Noun|/sə.mɛn/|suh-men
107,père,/pɛʁ/,pair,father,,,Mon père aime cuisiner le dimanche.,/mɔ̃ pɛʁ ɛm kɥi.zi.ne lə di.mɑ̃ʃ/,mohn pair em kwee-zee-NAY luh dee-MAHNSH,My father likes to cook on Sundays.,,Mon(Det)|My|Det|/mɔ̃/|mohn;père(le)|father|Noun|/pɛʁ/|pair;aime|likes|Verb|/ɛm/|em;cuisiner|to cook|Verb|/kɥi.zi.ne/|kwee-zee-nay;le(Art)|the|Art|/lə/|luh;dimanche(le)|Sunday|Noun|/di.mɑ̃ʃ/|dee-mahnsh
108,mère,/mɛʁ/,mair,mother,,,Ma mère prépare un bon gâteau.,/ma mɛʁ pʁe.paʁ œ̃ bɔ̃ ɡa.to/,mah mair pray-PAR uhn bohn gah-TOE,My mother is preparing a good cake.,,Ma(Det)|My|Det|/ma/|mah;mère(la)|mother|Noun|/mɛʁ/|mair;prépare|prepares|Verb|/pʁe.paʁ/|pray-par;un(Art)|a|Art|/œ̃/|uh;bon|good|Adj|/bɔ̃/|bohn;gâteau(le)|cake|Noun|/ɡɑ.to/|gah-toe
109,gens,/ʒɑ̃/,zhahn,people,,,Les gens sont très gentils dans ce village.,/le ʒɑ̃ sɔ̃ tʁɛ ʒɑ̃.ti dɑ̃ sə vi.laʒ/,lay zhahn sohn treh zhan-TEE dahn suh vee-LAZH,The people are very nice in this village.,,Les(Art)|The|Art|/le/|lay;gens(les)|people|Noun|/ʒɑ̃/|zhahn;sont|are|Verb|/sɔ̃/|sohn;très|very|Adv|/tʁɛ/|treh;gentils|nice|Adj|/ʒɑ̃.ti/|zhan-tee;dans|in|Prep|/dɑ̃/|dahn;ce(Det)|this|Det|/sə/|suh;village(le)|village|Noun|/vi.laʒ/|vee-lazh
110,connaître,/kɔ.nɛtʁ/,ko-net-ruh,to know (someone/place),Infinitive,Infinitive,Est-ce que tu connais mon frère ?,/ɛs kə ty kɔ.nɛ mɔ̃ fʁɛʁ/,ess-kuh tew ko-NEH mohn frair,Do you know my brother?,,Est-ce que|Is it that|Expr|/ɛs kə/|es-kuh;tu(Pron)|you|Pron|/ty/|tew;connais|know|Verb|/kɔ.nɛ/|ko-neh;mon(Det)|my|Det|/mɔ̃/|mohn;frère(le)|brother|Noun|/fʁɛʁ/|frair
111,mois,/mwa/,mwah,month,,,Nous partons en vacances le mois prochain.,/nu paʁ.tɔ̃ z‿ɑ̃ va.kɑ̃s lə mwa pʁɔ.ʃɛ̃/,noo par-TOHN zahn vah-KAHNS luh mwah pro-SHEHN,We are going on vacation next month.,,Nous(Pron)|We|Pron|/nu/|noo;partons|leave|Verb|/paʁ.tɔ̃/|par-tohn;en|on|Prep|/ɑ̃/|ahn;vacances(les)|vacation|Noun|/va.kɑ̃s/|vah-kahns;le(Art)|the|Art|/lə/|luh;mois(le)|month|Noun|/mwa/|mwah;prochain|next|Adj|/pʁɔ.ʃɛ̃/|pro-shehn
112,semaine,/sə.mɛn/,suh-men,week,,,Je travaille cinq jours par semaine.,/ʒə tʁa.vaj sɛ̃k ʒuʁ paʁ sə.mɛn/,zhuh trah-VYE sank zhoor par suh-MEN,I work five days per week.,,Je(Pron)|I|Pron|/ʒə/|zhuh;travaille|work|Verb|/tʁa.vaj/|trah-vye;cinq|five|Num|/sɛ̃k/|sank;jours(les)|days|Noun|/ʒuʁ/|zhoor;par|by/per|Prep|/paʁ/|par;semaine(la)|week|Noun|/sə.mɛn/|suh-men
113,ville,/vil/,veel,city,,,J'habite dans une grande ville en France.,/ʒa.bit dɑ̃ z‿yn ɡʁɑ̃d vil ɑ̃ fʁɑ̃s/,zhah-BEET dahn z(y)ewn grahnd veel ahn frahns,I live in a big city in France.,,J'|I|Pron|/ʒ/|zh;habite|live|Verb|/a.bit/|ah-beet;dans|in|Prep|/dɑ̃/|dahn;une(Art)|a|Art|/yn/|ywn;grande|big|Adj|/ɡʁɑ̃d/|grahnd;ville(la)|city|Noun|/vil/|veel;en|in|Prep|/ɑ̃/|ahn;France(la)|France|Noun|/fʁɑ̃s/|frahns
114,pays,/pe.i/,pay-ee,country,,,Le Canada est un très beau pays.,/lə ka.na.da ɛ tœ̃ tʁɛ bo pe.i/,luh kah-nah-DAH eh tun treh boh pay-EE,Canada is a very beautiful country.,,Le(Art)|The|Art|/lə/|luh;Canada(le)|Canada|Noun|/ka.na.da/|kah-nah-dah;est|is|Verb|/ɛ/|eh;un(Art)|a|Art|/œ̃/|uh;très|very|Adv|/tʁɛ/|treh;beau|beautiful|Adj|/bo/|bo;pays(le)|country|Noun|/pe.i/|pay-ee
115,trois,/tʁwa/,trwah,three,,,J'ai trois chats et un chien.,/ʒe tʁwa ʃa e t‿œ̃ ʃjɛ̃/,zhay trwah shah ay t(y)uhn shyehn,I have three cats and one dog.,,J'|I|Pron|/ʒ/|zh;ai|have|Verb|/e/|ay;trois|three|Num|/tʁwa/|trwah;chats(les)|cats|Noun|/ʃa/|shah;et|and|Conj|/e/|ay;un(Art)|one/a|Art|/œ̃/|uh;chien(le)|dog|Noun|/ʃjɛ̃/|shyeh
116,quatre,/katʁ/,kat-ruh,four,,,Il y a quatre saisons dans une année.,/il j a katʁ sɛ.zɔ̃ dɑ̃ z‿yn a.ne/,eel y ah kat-ruh seh-ZOHN dahn z(y)ewn ah-NAY,There are four seasons in a year.,,Il y a|There is/are|Expr|/il j a/|eel y ah;quatre|four|Num|/katʁ/|kat-ruh;saisons(les)|seasons|Noun|/sɛ.zɔ̃/|seh-zohn;dans|in|Prep|/dɑ̃/|dahn;une(Art)|a|Art|/yn/|ywn;année(la)|year|Noun|/a.ne/|ah-nay
117,école,/e.kɔl/,ay-kol,school,,,Les enfants sont à l'école maintenant.,/le z‿ɑ̃.fɑ̃ sɔ̃ ta le.kɔl mɛ̃.t(ə).nɑ̃/,lay zahn-FAHN sohn tah lay-KOL mehn-tuh-NAHN,The children are at school now.,à + l' -> à l',Les(Art)|The|Art|/le/|lay;enfants(les)|children|Noun|/ɑ̃.fɑ̃/|ahn-fahn;sont|are|Verb|/sɔ̃/|sohn;à|at|Prep|/a/|ah;l'|the|Art|/l/|l;école(l')|school|Noun|/e.kɔl/|ay-kol;maintenant|now|Adv|/mɛ̃t.nɑ̃/|mehnt-nahn
118,papier,/pa.pje/,pah-pyay,paper,,,As-tu un morceau de papier pour écrire ?,/a ty œ̃ mɔʁ.so də pa.pje puʁ e.kʁiʁ/,ah tew uhn mor-SOH duh pah-PYAY poor ay-KREER,Do you have a piece of paper to write?,,As-tu|Have you|Verb|/a ty/|ah tew;un(Art)|a|Art|/œ̃/|uh;morceau(le)|piece|Noun|/mɔʁ.so/|mor-so;de|of|Prep|/də/|duh;papier(le)|paper|Noun|/pa.pje/|pah-pyay;pour|to|Prep|/puʁ/|poor;écrire|write|Verb|/e.kʁiʁ/|ay-kreer
119,lettre,/lɛtʁ/,let-ruh,letter,,,Je vais envoyer une lettre à ma grand-mère.,/ʒə vɛ z‿ɑ̃.vwa.je yn lɛtʁ a ma ɡʁɑ̃.mɛʁ/,zhuh veh zahn-vwah-YAY een let-ruh ah mah grahn-MAIR,I am going to send a letter to my grandmother.,,Je(Pron)|I|Pron|/ʒə/|zhuh;vais|go|Verb|/vɛ/|veh;envoyer|to send|Verb|/ɑ̃.vwa.je/|ahn-vwah-yay;une(Art)|a|Art|/yn/|ywn;lettre(la)|letter|Noun|/lɛtʁ/|let-ruh;à|to|Prep|/a/|ah;ma(Det)|my|Det|/ma/|mah;grand-mère(la)|grandmother|Noun|/ɡʁɑ̃.mɛʁ/|grahn-mair
120,jouer,/ʒwe/,zhway,to play,Infinitive,Infinitive,Ils aiment jouer au football le samedi.,/il z‿ɛm ʒwe o fut.bal lə sam.di/,eel zem zhway oh foot-BAL luh sam-DEE,They like to play soccer on Saturdays.,à + le -> au,Ils(Pron)|They|Pron|/il/|eel;aiment|like|Verb|/ɛm/|em;jouer|to play|Verb|/ʒwe/|zhway;au(Prep)|soccer|Prep|/o/|oh;football(le)|soccer|Noun|/fut.bal/|foot-bal;le(Art)|the|Art|/lə/|luh;samedi(le)|Saturday|Noun|/sam.di/|sam-dee
121,mot,/mo/,mo,word,,,Je ne comprends pas ce mot difficile.,/ʒə nə kɔ̃.pʁɑ̃ pa sə mo di.fi.sil/,zhuh nuh kohn-PRAHN pah suh moh dee-fee-SEEL,I do not understand this difficult word.,,Je(Pron)|I|Pron|/ʒə/|zhuh;ne|not|Adv|/nə/|nuh;comprends|understand|Verb|/kɔ̃.pʁɑ̃/|kohn-prahn;pas|not|Adv|/pa/|pah;ce(Det)|this|Det|/sə/|suh;mot(le)|word|Noun|/mo/|mo;difficile|difficult|Adj|/di.fi.sil/|dee-fee-sil
122,vieux / vieille,/vjø/ /vjɛj/,vyuh / vyeh-yuh,old,,,Mon grand-père est un peu vieux maintenant.,/mɔ̃ ɡʁɑ̃.pɛʁ ɛ tœ̃ pø vjø mɛ̃.t(ə).nɑ̃/,mohn grahn-pair eh tun puh vyuh mehn-tuh-NAHN,My grandfather is a little old now.,,Mon(Det)|My|Det|/mɔ̃/|mohn;grand-père(le)|grandfather|Noun|/ɡʁɑ̃.pɛʁ/|grahn-pair;est|is|Verb|/ɛ/|eh;un(Art)|a|Art|/œ̃/|uh;peu|little|Adv|/pø/|puh;vieux|old|Adj|/vjø/|vyuh;maintenant|now|Adv|/mɛ̃t.nɑ̃/|mehnt-nahn
123,vivre,/vivʁ/,veev-ruh,to live,Infinitive,Infinitive,Il espère vivre cent ans.,/il ɛs.pɛʁ vivʁ sɑ̃ t‿ɑ̃/,eel es-PAIR veev-ruh sahn tahn,He hopes to live one hundred years.,,Il(Pron)|He|Pron|/il/|eel;espère|hopes|Verb|/ɛs.pɛʁ/|es-pair;vivre|to live|Verb|/vivʁ/|veev-ruh;cent|hundred|Num|/sɑ̃/|sahn;ans(les)|years|Noun|/ɑ̃/|ahn
124,porte,/pɔʁt/,port,door,,,"Ferme la porte s'il te plaît, il fait froid.",/fɛʁm la pɔʁt sil tə plɛ il fɛ fʁwa/,fairm lah port seel tuh pleh eel feh frwah,"Close the door please, it is cold.",,Ferme|Close|Verb|/fɛʁm/|fairm;la(Art)|the|Art|/la/|lah;porte(la)|door|Noun|/pɔʁt/|port;s'il te plaît|please|Expr|/sil tə plɛ/|seel-tuh-pleh;il fait|it makes (weather)|Verb|/il fɛ/|eel feh;froid|cold|Adj|/fʁwa/|frwah
125,partir,/paʁ.tiʁ/,par-teer,to leave / to depart,Infinitive,Infinitive,Le bus va partir dans dix minutes.,/lə bys va paʁ.tiʁ dɑ̃ dis mi.nyt/,luh bewss vah par-TEER dahn dees mee-NOOT,The bus is going to leave in ten minutes.,,Le(Art)|The|Art|/lə/|luh;bus(le)|bus|Noun|/bys/|bewss;va|goes|Verb|/va/|vah;partir|to leave|Verb|/paʁ.tiʁ/|par-teer;dans|in|Prep|/dɑ̃/|dahn;dix|ten|Num|/dis/|dees;minutes(les)|minutes|Noun|/mi.nyt/|mee-newt
