#	Sentence (Audio)	Sentence Reveal (English)	W1	W1 Quiz Data	W2	W2 Quiz Data	W3	W3 Quiz Data	W4	W4 Quiz Data
22	🔊 Il pense à toi.	He thinks of you.	Il	Type: Pronoun<br>Pers: 3rd Sing M	pense	Inf: Penser<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: To think	à	Type: Prep<br>Trans: To/At	toi	Type: Pronoun<br>Form: Stressed<br>Trans: You
23	🔊 Nous sortons ce soir.	We go out tonight.	Nous	Type: Pronoun<br>Pers: 1st Pl	sortons	Inf: Sortir<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: To go out	ce	Type: Demo<br>Gen: Masc<br>Trans: This	soir	Type: Noun<br>Gen: Masc<br>Trans: Evening
24	🔊 Vous répondez vite.	You answer quickly.	Vous	Type: Pronoun<br>Pers: 2nd Pl	répondez	Inf: Répondre<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: To answer	vite	Type: Adverb<br>Trans: Quickly	N/A	N/A
25	🔊 Elles perdent le match.	They lose the match.	Elles	Type: Pronoun<br>Pers: 3rd Pl F	perdent	Inf: Perdre<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: To lose	le	Type: Article<br>Gen: Masc<br>Trans: The	match	Type: Noun<br>Gen: Masc<br>Trans: Game
26	🔊 Je connais cet homme.	I know this man.	Je	Type: Pronoun<br>Pers: 1st Sing	connais	Inf: Connaître<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: To know	cet	Type: Demo<br>Gen: Masc+V<br>Trans: This	homme	Type: Noun<br>Gen: Masc<br>Trans: Man
27	🔊 Tu vis ici ?	You live here?	Tu	Type: Pronoun<br>Pers: 2nd Sing	vis	Inf: Vivre<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: To live	ici	Type: Adverb<br>Trans: Here	N/A	N/A
28	🔊 Il cherche son chien.	He looks for his dog.	Il	Type: Pronoun<br>Pers: 3rd Sing M	cherche	Inf: Chercher<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: To look for	son	Type: Poss<br>Gen: Masc<br>Trans: His	chien	Type: Noun<br>Gen: Masc<br>Trans: Dog
29	🔊 Nous sentons le vent.	We feel the wind.	Nous	Type: Pronoun<br>Pers: 1st Pl	sentons	Inf: Sentir<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: To feel	le	Type: Article<br>Gen: Masc<br>Trans: The	vent	Type: Noun<br>Gen: Masc<br>Trans: Wind
30	🔊 Vous comprenez tout.	You understand everything.	Vous	Type: Pronoun<br>Pers: 2nd Pl	comprenez	Inf: Comprendre<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: Understand	tout	Type: Pronoun<br>Trans: Everything	N/A	N/A
31	🔊 Ils deviennent fous.	They become crazy.	Ils	Type: Pronoun<br>Pers: 3rd Pl M	deviennent	Inf: Devenir<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: To become	fous	Type: Adj<br>Gen: Masc Pl<br>Trans: Crazy	N/A	N/A
32	🔊 J'écris un livre.	I am writing a book.	J'	Type: Pronoun<br>Pers: 1st Sing	écris	Inf: Écrire<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: To write	un	Type: Article<br>Gen: Masc<br>Trans: A/An	livre	Type: Noun<br>Gen: Masc<br>Trans: Book
33	🔊 Tu joues bien.	You play well.	Tu	Type: Pronoun<br>Pers: 2nd Sing	joues	Inf: Jouer<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: To play	bien	Type: Adverb<br>Trans: Well	N/A	N/A
34	🔊 Elle finit son travail.	She finishes her work.	Elle	Type: Pronoun<br>Pers: 3rd Sing F	finit	Inf: Finir<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: To finish	son	Type: Poss<br>Gen: Masc<br>Trans: Her	travail	Type: Noun<br>Gen: Masc<br>Trans: Work
35	🔊 Nous buvons de l'eau.	We drink water.	Nous	Type: Pronoun<br>Pers: 1st Pl	buvons	Inf: Boire<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: To drink	de	Type: Prep<br>Trans: Some/Of	l'eau	Type: Noun<br>Gen: Fem<br>Trans: Water
36	🔊 Vous dormez beaucoup.	You sleep a lot.	Vous	Type: Pronoun<br>Pers: 2nd Pl	dormez	Inf: Dormir<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: To sleep	beaucoup	Type: Adverb<br>Trans: A lot	N/A	N/A
37	🔊 Ils courent vite.	They run fast.	Ils	Type: Pronoun<br>Pers: 3rd Pl M	courent	Inf: Courir<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: To run	vite	Type: Adverb<br>Trans: Fast	N/A	N/A
38	🔊 J'achète du pain.	I buy some bread.	J'	Type: Pronoun<br>Pers: 1st Sing	achète	Inf: Acheter<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: To buy	du	Type: Article<br>Partitive<br>Trans: Some	pain	Type: Noun<br>Gen: Masc<br>Trans: Bread
39	🔊 Tu vends ta voiture.	You sell your car.	Tu	Type: Pronoun<br>Pers: 2nd Sing	vends	Inf: Vendre<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: To sell	ta	Type: Poss<br>Gen: Fem<br>Trans: Your	voiture	Type: Noun<br>Gen: Fem<br>Trans: Car
40	🔊 Elle ouvre la porte.	She opens the door.	Elle	Type: Pronoun<br>Pers: 3rd Sing F	ouvre	Inf: Ouvrir<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: To open	la	Type: Article<br>Gen: Fem<br>Trans: The	porte	Type: Noun<br>Gen: Fem<br>Trans: Door
41	🔊 Nous fermons le magasin.	We close the store.	Nous	Type: Pronoun<br>Pers: 1st Pl	fermons	Inf: Fermer<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: To close	le	Type: Article<br>Gen: Masc<br>Trans: The	magasin	Type: Noun<br>Gen: Masc<br>Trans: Store
42	🔊 Vous payez l'addition.	You pay the bill.	Vous	Type: Pronoun<br>Pers: 2nd Pl	payez	Inf: Payer<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: To pay	l'	Type: Article<br>Gen: Fem<br>Trans: The	addition	Type: Noun<br>Gen: Fem<br>Trans: Bill
43	🔊 Ils aident les pauvres.	They help the poor.	Ils	Type: Pronoun<br>Pers: 3rd Pl M	aident	Inf: Aider<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: To help	les	Type: Article<br>Plural<br>Trans: The	pauvres	Type: Noun<br>Gen: Plural<br>Trans: Poor
44	🔊 Je donne un cadeau.	I give a gift.	Je	Type: Pronoun<br>Pers: 1st Sing	donne	Inf: Donner<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: To give	un	Type: Article<br>Gen: Masc<br>Trans: A	cadeau	Type: Noun<br>Gen: Masc<br>Trans: Gift
45	🔊 Tu reçois une lettre.	You receive a letter.	Tu	Type: Pronoun<br>Pers: 2nd Sing	reçois	Inf: Recevoir<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: To receive	une	Type: Article<br>Gen: Fem<br>Trans: A	lettre	Type: Noun<br>Gen: Fem<br>Trans: Letter
46	🔊 Elle porte une robe.	She wears a dress.	Elle	Type: Pronoun<br>Pers: 3rd Sing F	porte	Inf: Porter<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: To wear/carry	une	Type: Article<br>Gen: Fem<br>Trans: A	robe	Type: Noun<br>Gen: Fem<br>Trans: Dress
47	🔊 Nous marchons ensemble.	We walk together.	Nous	Type: Pronoun<br>Pers: 1st Pl	marchons	Inf: Marcher<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: To walk	ensemble	Type: Adverb<br>Trans: Together	N/A	N/A
48	🔊 Vous montrez le chemin.	You show the way.	Vous	Type: Pronoun<br>Pers: 2nd Pl	montrez	Inf: Montrer<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: To show	le	Type: Article<br>Gen: Masc<br>Trans: The	chemin	Type: Noun<br>Gen: Masc<br>Trans: Path/Way
49	🔊 Ils s'assoient là.	They sit there.	Ils	Type: Pronoun<br>Pers: 3rd Pl M	s'assoient	Inf: S'asseoir<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: To sit	là	Type: Adverb<br>Trans: There	N/A	N/A
50	🔊 Je lève la main.	I raise my hand.	Je	Type: Pronoun<br>Pers: 1st Sing	lève	Inf: Lever<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: To raise	la	Type: Article<br>Gen: Fem<br>Trans: The	main	Type: Noun<br>Gen: Fem<br>Trans: Hand
51	🔊 Tu tombes mal.	You fall/arrive at a bad time.	Tu	Type: Pronoun<br>Pers: 2nd Sing	tombes	Inf: Tomber<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: Fall	mal	Type: Adverb<br>Trans: Badly/Poorly	N/A	N/A
52	🔊 Il commence tôt.	He starts early.	Il	Type: Pronoun<br>Pers: 3rd Sing M	commence	Inf: Commencer<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: Start	tôt	Type: Adverb<br>Trans: Early	N/A	N/A
53	🔊 Nous arrêtons le bus.	We stop the bus.	Nous	Type: Pronoun<br>Pers: 1st Pl	arrêtons	Inf: Arrêter<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: Stop	le	Type: Article<br>Gen: Masc<br>Trans: The	bus	Type: Noun<br>Gen: Masc<br>Trans: Bus
54	🔊 Vous gagnez le prix.	You win the prize.	Vous	Type: Pronoun<br>Pers: 2nd Pl	gagnez	Inf: Gagner<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: Win	le	Type: Article<br>Gen: Masc<br>Trans: The	prix	Type: Noun<br>Gen: Masc<br>Trans: Prize/Price
55	🔊 Elles changent tout.	They change everything.	Elles	Type: Pronoun<br>Pers: 3rd Pl F	changent	Inf: Changer<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: Change	tout	Type: Pronoun<br>Trans: Everything	N/A	N/A
56	🔊 Je refuse de payer.	I refuse to pay.	Je	Type: Pronoun<br>Pers: 1st Sing	refuse	Inf: Refuser<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: Refuse	de	Type: Prep<br>Trans: To/Of	payer	Inf: Payer<br>Form: Infinitive<br>Trans: To pay
57	🔊 Tu acceptes le défi.	You accept the challenge.	Tu	Type: Pronoun<br>Pers: 2nd Sing	acceptes	Inf: Accepter<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: Accept	le	Type: Article<br>Gen: Masc<br>Trans: The	défi	Type: Noun<br>Gen: Masc<br>Trans: Challenge
58	🔊 Il existe vraiment.	It really exists.	Il	Type: Pronoun<br>Pers: Impersonal	existe	Inf: Exister<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: Exist	vraiment	Type: Adverb<br>Trans: Really	N/A	N/A
59	🔊 Nous envoyons une lettre.	We send a letter.	Nous	Type: Pronoun<br>Pers: 1st Pl	envoyons	Inf: Envoyer<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: Send	une	Type: Article<br>Gen: Fem<br>Trans: A	lettre	Type: Noun<br>Gen: Fem<br>Trans: Letter
60	🔊 Vous expliquez la règle.	You explain the rule.	Vous	Type: Pronoun<br>Pers: 2nd Pl	expliquez	Inf: Expliquer<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: Explain	la	Type: Article<br>Gen: Fem<br>Trans: The	règle	Type: Noun<br>Gen: Fem<br>Trans: Rule
61	🔊 Ils posent des questions.	They ask questions.	Ils	Type: Pronoun<br>Pers: 3rd Pl M	posent	Inf: Poser<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: Ask/Pose	des	Type: Article<br>Plural<br>Trans: Some	questions	Type: Noun<br>Gen: Fem Pl<br>Trans: Questions
62	🔊 Je réponds au téléphone.	I answer the phone.	Je	Type: Pronoun<br>Pers: 1st Sing	réponds	Inf: Répondre<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: Answer	au	Type: Contraction<br>(à+le)<br>Trans: To the	téléphone	Type: Noun<br>Gen: Masc<br>Trans: Phone
63	🔊 Tu demandes pardon.	You ask for forgiveness.	Tu	Type: Pronoun<br>Pers: 2nd Sing	demandes	Inf: Demander<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: Ask	pardon	Type: Noun<br>Gen: Masc<br>Trans: Pardon	N/A	N/A
64	🔊 Elle écoute la radio.	She listens to the radio.	Elle	Type: Pronoun<br>Pers: 3rd Sing F	écoute	Inf: Écouter<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: Listen	la	Type: Article<br>Gen: Fem<br>Trans: The	radio	Type: Noun<br>Gen: Fem<br>Trans: Radio
65	🔊 Nous regardons la télé.	We watch TV.	Nous	Type: Pronoun<br>Pers: 1st Pl	regardons	Inf: Regarder<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: Watch	la	Type: Article<br>Gen: Fem<br>Trans: The	télé	Type: Noun<br>Gen: Fem<br>Trans: TV
66	🔊 Vous voyez le problème.	You see the problem.	Vous	Type: Pronoun<br>Pers: 2nd Pl	voyez	Inf: Voir<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: See	le	Type: Article<br>Gen: Masc<br>Trans: The	problème	Type: Noun<br>Gen: Masc<br>Trans: Problem
67	🔊 Ils sentent la rose.	They smell the rose.	Ils	Type: Pronoun<br>Pers: 3rd Pl M	sentent	Inf: Sentir<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: Smell	la	Type: Article<br>Gen: Fem<br>Trans: The	rose	Type: Noun<br>Gen: Fem<br>Trans: Rose
68	🔊 Je touche le mur.	I touch the wall.	Je	Type: Pronoun<br>Pers: 1st Sing	touche	Inf: Toucher<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: Touch	le	Type: Article<br>Gen: Masc<br>Trans: The	mur	Type: Noun<br>Gen: Masc<br>Trans: Wall
69	🔊 Tu goûtes la soupe.	You taste the soup.	Tu	Type: Pronoun<br>Pers: 2nd Sing	goûtes	Inf: Goûter<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: Taste	la	Type: Article<br>Gen: Fem<br>Trans: The	soupe	Type: Noun<br>Gen: Fem<br>Trans: Soup
70	🔊 Il aime les chiens.	He likes dogs.	Il	Type: Pronoun<br>Pers: 3rd Sing M	aime	Inf: Aimer<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: Like	les	Type: Article<br>Plural<br>Trans: The	chiens	Type: Noun<br>Gen: Masc Pl<br>Trans: Dogs
71	🔊 Nous adorons voyager.	We love to travel.	Nous	Type: Pronoun<br>Pers: 1st Pl	adorons	Inf: Adorer<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: Love	voyager	Inf: Voyager<br>Form: Infinitive<br>Trans: To travel	N/A	N/A
72	🔊 Vous détestez perdre.	You hate losing.	Vous	Type: Pronoun<br>Pers: 2nd Pl	détestez	Inf: Détester<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: Hate	perdre	Inf: Perdre<br>Form: Infinitive<br>Trans: To lose	N/A	N/A
73	🔊 Elles préfèrent le bleu.	They prefer blue.	Elles	Type: Pronoun<br>Pers: 3rd Pl F	préfèrent	Inf: Préférer<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: Prefer	le	Type: Article<br>Gen: Masc<br>Trans: The	bleu	Type: Noun/Adj<br>Gen: Masc<br>Trans: Blue
74	🔊 Je souhaite bonne chance.	I wish good luck.	Je	Type: Pronoun<br>Pers: 1st Sing	souhaite	Inf: Souhaiter<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: Wish	bonne	Type: Adj<br>Gen: Fem<br>Trans: Good	chance	Type: Noun<br>Gen: Fem<br>Trans: Luck
75	🔊 Tu espères gagner.	You hope to win.	Tu	Type: Pronoun<br>Pers: 2nd Sing	espères	Inf: Espérer<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: Hope	gagner	Inf: Gagner<br>Form: Infinitive<br>Trans: To win	N/A	N/A
76	🔊 Il craint le pire.	He fears the worst.	Il	Type: Pronoun<br>Pers: 3rd Sing M	craint	Inf: Craindre<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: Fear	le	Type: Article<br>Gen: Masc<br>Trans: The	pire	Type: Noun<br>Gen: Masc<br>Trans: Worst
77	🔊 Nous vivons heureux.	We live happily.	Nous	Type: Pronoun<br>Pers: 1st Pl	vivons	Inf: Vivre<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: Live	heureux	Type: Adj/Adv<br>Gen: Masc Pl<br>Trans: Happy	N/A	N/A
78	🔊 Vous habitez Paris.	You live in Paris.	Vous	Type: Pronoun<br>Pers: 2nd Pl	habitez	Inf: Habiter<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: Live/Reside	Paris	Type: Noun<br>Proper<br>Trans: Paris	N/A	N/A
79	🔊 Ils partent demain.	They leave tomorrow.	Ils	Type: Pronoun<br>Pers: 3rd Pl M	partent	Inf: Partir<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: Leave	demain	Type: Adverb<br>Trans: Tomorrow	N/A	N/A
80	🔊 Je reviens bientôt.	I come back soon.	Je	Type: Pronoun<br>Pers: 1st Sing	reviens	Inf: Revenir<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: Come back	bientôt	Type: Adverb<br>Trans: Soon	N/A	N/A
81	🔊 Tu retournes chez toi.	You return to your place.	Tu	Type: Pronoun<br>Pers: 2nd Sing	retournes	Inf: Retourner<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: Return	chez	Type: Prep<br>Trans: At house of	toi	Type: Pronoun<br>Stressed<br>Trans: You
82	🔊 Elle rentre tard.	She comes home late.	Elle	Type: Pronoun<br>Pers: 3rd Sing F	rentre	Inf: Rentrer<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: Re-enter	tard	Type: Adverb<br>Trans: Late	N/A	N/A
83	🔊 Nous restons ici.	We stay here.	Nous	Type: Pronoun<br>Pers: 1st Pl	restons	Inf: Rester<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: Stay	ici	Type: Adverb<br>Trans: Here	N/A	N/A
84	🔊 Vous tombez malade.	You fall ill.	Vous	Type: Pronoun<br>Pers: 2nd Pl	tombez	Inf: Tomber<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: Fall	malade	Type: Adj<br>Trans: Sick	N/A	N/A
85	🔊 Ils montent l'escalier.	They go up the stairs.	Ils	Type: Pronoun<br>Pers: 3rd Pl M	montent	Inf: Monter<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: Go up	l'	Type: Article<br>Gen: Masc<br>Trans: The	escalier	Type: Noun<br>Gen: Masc<br>Trans: Staircase
86	🔊 Je descends la rue.	I go down the street.	Je	Type: Pronoun<br>Pers: 1st Sing	descends	Inf: Descendre<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: Go down	la	Type: Article<br>Gen: Fem<br>Trans: The	rue	Type: Noun<br>Gen: Fem<br>Trans: Street
87	🔊 Tu passes le sel.	You pass the salt.	Tu	Type: Pronoun<br>Pers: 2nd Sing	passes	Inf: Passer<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: Pass	le	Type: Article<br>Gen: Masc<br>Trans: The	sel	Type: Noun<br>Gen: Masc<br>Trans: Salt
88	🔊 Il traverse la rue.	He crosses the street.	Il	Type: Pronoun<br>Pers: 3rd Sing M	traverse	Inf: Traverser<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: Cross	la	Type: Article<br>Gen: Fem<br>Trans: The	rue	Type: Noun<br>Gen: Fem<br>Trans: Street
89	🔊 Nous suivons le guide.	We follow the guide.	Nous	Type: Pronoun<br>Pers: 1st Pl	suivons	Inf: Suivre<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: Follow	le	Type: Article<br>Gen: Masc<br>Trans: The	guide	Type: Noun<br>Gen: Masc<br>Trans: Guide
90	🔊 Vous doublez la voiture.	You overtake the car.	Vous	Type: Pronoun<br>Pers: 2nd Pl	doublez	Inf: Doubler<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: Pass/Double	la	Type: Article<br>Gen: Fem<br>Trans: The	voiture	Type: Noun<br>Gen: Fem<br>Trans: Car
91	🔊 Elles tournent à gauche.	They turn left.	Elles	Type: Pronoun<br>Pers: 3rd Pl F	tournent	Inf: Tourner<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: Turn	à	Type: Prep<br>Trans: To	gauche	Type: Noun<br>Gen: Fem<br>Trans: Left
92	🔊 Je conduis vite.	I drive fast.	Je	Type: Pronoun<br>Pers: 1st Sing	conduis	Inf: Conduire<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: Drive	vite	Type: Adverb<br>Trans: Fast	N/A	N/A
93	🔊 Tu gares la voiture.	You park the car.	Tu	Type: Pronoun<br>Pers: 2nd Sing	gares	Inf: Garer<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: Park	la	Type: Article<br>Gen: Fem<br>Trans: The	voiture	Type: Noun<br>Gen: Fem<br>Trans: Car
94	🔊 Il vole un sac.	He steals a bag.	Il	Type: Pronoun<br>Pers: 3rd Sing M	vole	Inf: Voler<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: Steal	un	Type: Article<br>Gen: Masc<br>Trans: A	sac	Type: Noun<br>Gen: Masc<br>Trans: Bag
95	🔊 Nous courons vite.	We run fast.	Nous	Type: Pronoun<br>Pers: 1st Pl	courons	Inf: Courir<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: Run	vite	Type: Adverb<br>Trans: Fast	N/A	N/A
96	🔊 Vous sautez haut.	You jump high.	Vous	Type: Pronoun<br>Pers: 2nd Pl	sautez	Inf: Sauter<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: Jump	haut	Type: Adverb<br>Trans: High	N/A	N/A
97	🔊 Ils nagent bien.	They swim well.	Ils	Type: Pronoun<br>Pers: 3rd Pl M	nagent	Inf: Nager<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: Swim	bien	Type: Adverb<br>Trans: Well	N/A	N/A
